Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1961,1961,hg/ha,10020,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1962,1962,hg/ha,6292,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1963,1963,hg/ha,7276,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1964,1964,hg/ha,7005,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1965,1965,hg/ha,7106,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1966,1966,hg/ha,7356,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1967,1967,hg/ha,10095,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1968,1968,hg/ha,6845,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1969,1969,hg/ha,5009,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1970,1970,hg/ha,6194,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1971,1971,hg/ha,5356,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1972,1972,hg/ha,7053,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1973,1973,hg/ha,5652,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1974,1974,hg/ha,7593,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1975,1975,hg/ha,5872,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1976,1976,hg/ha,7036,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1977,1977,hg/ha,3365,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1978,1978,hg/ha,6353,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1979,1979,hg/ha,3891,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1980,1980,hg/ha,4370,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1981,1981,hg/ha,5915,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1982,1982,hg/ha,6014,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1983,1983,hg/ha,3149,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1984,1984,hg/ha,4443,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1985,1985,hg/ha,5164,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1986,1986,hg/ha,3958,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1987,1987,hg/ha,4391,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1988,1988,hg/ha,3024,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1989,1989,hg/ha,5578,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1990,1990,hg/ha,4284,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1991,1991,hg/ha,4333,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1992,1992,hg/ha,4859,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1993,1993,hg/ha,4710,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1994,1994,hg/ha,3996,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1995,1995,hg/ha,2636,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1996,1996,hg/ha,4009,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1997,1997,hg/ha,6181,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1998,1998,hg/ha,3498,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",1999,1999,hg/ha,4471,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2000,2000,hg/ha,3359,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2001,2001,hg/ha,3865,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2002,2002,hg/ha,4305,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2003,2003,hg/ha,3342,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2004,2004,hg/ha,1391,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2005,2005,hg/ha,3483,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2006,2006,hg/ha,5403,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2007,2007,hg/ha,3329,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2008,2008,hg/ha,3177,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2009,2009,hg/ha,4811,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2010,2010,hg/ha,4070,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2011,2011,hg/ha,3893,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2012,2012,hg/ha,3998,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2013,2013,hg/ha,2679,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,221,"Almonds, with shell",2014,2014,hg/ha,3713,Fc,Calculated data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1961,1961,tonnes,204000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1962,1962,tonnes,130000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1963,1963,tonnes,152000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1964,1964,tonnes,152000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1965,1965,tonnes,153000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1966,1966,tonnes,155000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1967,1967,tonnes,211700,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1968,1968,tonnes,152500,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1969,1969,tonnes,108800,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1970,1970,tonnes,165800,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1971,1971,tonnes,140600,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1972,1972,tonnes,234100,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1973,1973,tonnes,216400,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1974,1974,tonnes,318900,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1975,1975,tonnes,255300,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1976,1976,tonnes,316600,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1977,1977,tonnes,155200,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1978,1978,tonnes,306700,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1979,1979,tonnes,197500,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1980,1980,tonnes,225300,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1981,1981,tonnes,307300,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1982,1982,tonnes,315300,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1983,1983,tonnes,165800,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1984,1984,tonnes,236093,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1985,1985,tonnes,287200,,Official data
